name,team,battingStyle,bowlingStyle,playingRole
AaronFinch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
AbdulBasith,Royals,Right hand Bat,Right arm Offbreak,Allrounder
AbdulSamad,Sunrisers,Right hand Bat,Legbreak,Batter
AbhijeetTomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
AbhinavManohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
AbhishekSharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder
AbishekPorel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
AdamMilne,Mumbai,Right hand Bat,Right arm Fast,Bowler
AdamZampa,Royals,Right hand Bat,Legbreak Googly,Bowler
AdilRashid,Punjab Kings,Right hand Bat,Legbreak,Bowler
AidenMarkram,Punjab Kings,Right hand Bat,Right arm Offbreak,Opening Batter
AjinkyaRahane,Capitals,Right hand Bat,Right arm Medium,Top order Batter
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder
AkashMadhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler
AkashSingh,Royals,Right hand Bat,Left arm Medium fast,Bowler
AkealHosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler
AmanHakimKhan,KKR,Right hand Bat,Right arm Medium,Allrounder
AmbatiRayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter
AmitMishra,Capitals,Right hand Bat,Legbreak,Bowler
AndreRussell,KKR,Right hand Bat,Right arm Fast,Allrounder
AndrewTye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
AnmolpreetSingh,Mumbai,Right hand Bat,Right arm Offbreak,Batter
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler
AnujRawat,Royals,Left hand Bat,Not Available,Wicketkeeper Batter
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
ArjunTendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler
ArshadKhan,Mumbai,Left hand Bat,Left arm Medium,Bowler
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
AveshKhan,Capitals,Right hand Bat,Right arm Fast medium,Bowler
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter
BabaIndrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter
BasilThampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler
BenStokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
